day,time,use?,action,date_time,remarks,duration,duration_seconds,timestamp,duration_msec
29.01.2018,17:28:00,u,sitzen,2018-01-29 17:28:00,,00:52:00,3120,1517246880000,3120000
29.01.2018,18:20:00,u,joggen,2018-01-29 18:20:00,,00:22:00,1320,1517250000000,1320000
29.01.2018,18:42:00,u,gehen,2018-01-29 18:42:00,,00:42:00,2520,1517251320000,2520000
29.01.2018,19:24:00,u,duschen,2018-01-29 19:24:00,,00:09:00,540,1517253840000,540000
29.01.2018,19:33:00,u,sitzen,2018-01-29 19:33:00,,06:09:00,22140,1517254380000,22140000
30.01.2018,01:42:00,n,nul,2018-01-30 01:42:00,,00:07:00,420,1517276520000,420000
30.01.2018,01:49:00,n,schlafen,2018-01-30 01:49:00,,08:11:00,29460,1517276940000,29460000
30.01.2018,10:00:00,u,gehen,2018-01-30 10:00:00,,00:51:00,3060,1517306400000,3060000
30.01.2018,10:51:00,i,sitzen,2018-01-30 10:51:00,,01:22:00,4920,1517309460000,4920000
30.01.2018,12:13:00,u,sitzen,2018-01-30 12:13:00,,02:47:00,10020,1517314380000,10020000
30.01.2018,15:00:00,i,sitzen,2018-01-30 15:00:00,,00:50:00,3000,1517324400000,3000000
30.01.2018,15:50:00,u,gehen,2018-01-30 15:50:00,,00:05:00,300,1517327400000,300000
30.01.2018,15:55:00,i,sitzen,2018-01-30 15:55:00,,00:07:00,420,1517327700000,420000
30.01.2018,16:02:00,u,gehen,2018-01-30 16:02:00,,00:17:00,1020,1517328120000,1020000
30.01.2018,16:19:00,u,liegen,2018-01-30 16:19:00,,00:29:00,1740,1517329140000,1740000
30.01.2018,16:48:00,n,schlafen,2018-01-30 16:48:00,,05:11:00,18660,1517330880000,18660000
30.01.2018,21:59:00,u,liegen,2018-01-30 21:59:00,,00:20:00,1200,1517349540000,1200000
30.01.2018,22:19:00,u,joggen,2018-01-30 22:19:00,,00:21:00,1260,1517350740000,1260000
30.01.2018,22:40:00,u,gehen,2018-01-30 22:40:00,,00:05:00,300,1517352000000,300000
30.01.2018,22:45:00,u,duschen,2018-01-30 22:45:00,,00:26:00,1560,1517352300000,1560000
30.01.2018,23:11:00,u,liegen,2018-01-30 23:11:00,,05:16:00,18960,1517353860000,18960000
31.01.2018,04:27:00,n,schlafen,2018-01-31 04:27:00,,06:51:00,24660,1517372820000,24660000
31.01.2018,11:18:00,u,liegen,2018-01-31 11:18:00,,03:37:00,13020,1517397480000,13020000
31.01.2018,14:55:00,u,joggen,2018-01-31 14:55:00,,00:20:00,1200,1517410500000,1200000
31.01.2018,15:15:00,u,gehen,2018-01-31 15:15:00,,00:37:00,2220,1517411700000,2220000
31.01.2018,15:52:00,u,sitzen,2018-01-31 15:52:00,,00:35:00,2100,1517413920000,2100000
31.01.2018,16:27:00,u,gehen,2018-01-31 16:27:00,,00:12:00,720,1517416020000,720000
31.01.2018,16:39:00,u,sitzen,2018-01-31 16:39:00,,00:18:00,1080,1517416740000,1080000
31.01.2018,16:57:00,u,gehen,2018-01-31 16:57:00,,00:01:00,60,1517417820000,60000
31.01.2018,16:58:00,u,sitzen,2018-01-31 16:58:00,,06:24:00,23040,1517417880000,23040000
31.01.2018,23:22:00,u,nul,2018-01-31 23:22:00,,01:31:00,5460,1517440920000,5460000
01.02.2018,00:53:00,n,schlafen,2018-02-01 00:53:00,,07:12:00,25920,1517446380000,25920000
01.02.2018,08:05:00,u,liegen,2018-02-01 08:05:00,,09:24:00,33840,1517472300000,33840000
01.02.2018,17:29:00,u,gehen,2018-02-01 17:29:00,,00:14:00,840,1517506140000,840000
01.02.2018,17:43:00,u,joggen,2018-02-01 17:43:00,,00:21:00,1260,1517506980000,1260000
01.02.2018,18:04:00,u,gehen,2018-02-01 18:04:00,,00:12:00,720,1517508240000,720000
01.02.2018,18:16:00,u,duschen,2018-02-01 18:16:00,,00:07:00,420,1517508960000,420000
01.02.2018,18:23:00,u,gehen,2018-02-01 18:23:00,,00:08:00,480,1517509380000,480000
01.02.2018,18:31:00,u,sitzen,2018-02-01 18:31:00,,01:20:00,4800,1517509860000,4800000
01.02.2018,19:51:00,u,gehen,2018-02-01 19:51:00,,00:09:00,540,1517514660000,540000
01.02.2018,20:00:00,u,sitzen,2018-02-01 20:00:00,,04:28:00,16080,1517515200000,16080000
02.02.2018,00:28:00,u,nul,2018-02-02 00:28:00,,00:46:00,2760,1517531280000,2760000
02.02.2018,01:14:00,u,liegen,2018-02-02 01:14:00,,03:02:00,10920,1517534040000,10920000
02.02.2018,04:16:00,n,schlafen,2018-02-02 04:16:00,,11:45:00,42300,1517544960000,42300000
02.02.2018,16:01:00,u,liegen,2018-02-02 16:01:00,,01:47:00,6420,1517587260000,6420000
02.02.2018,17:48:00,u,gehen,2018-02-02 17:48:00,,00:13:00,780,1517593680000,780000
02.02.2018,18:01:00,u,joggen,2018-02-02 18:01:00,,00:20:00,1200,1517594460000,1200000
02.02.2018,18:21:00,u,gehen,2018-02-02 18:21:00,,00:10:00,600,1517595660000,600000
02.02.2018,18:31:00,u,sitzen,2018-02-02 18:31:00,,00:32:00,1920,1517596260000,1920000
02.02.2018,19:03:00,u,gehen,2018-02-02 19:03:00,,00:14:00,840,1517598180000,840000
02.02.2018,19:17:00,u,sitzen,2018-02-02 19:17:00,,00:55:00,3300,1517599020000,3300000
02.02.2018,20:12:00,u,gehen,2018-02-02 20:12:00,,00:04:00,240,1517602320000,240000
02.02.2018,20:16:00,u,sitzen,2018-02-02 20:16:00,,05:31:00,19860,1517602560000,19860000
02.02.2018,01:47:00,u,sitzen,2018-02-02 01:47:00,Ende des Versuchs,00:00:00,0,1517536020000,0
