"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.674580875E0,-2.823578339E0,1.425186310E0,7.786807251E0,8.404648584E0
1.684590875E0,-2.847378845E0,1.556163940E0,7.830216980E0,8.475937143E0
1.694630875E0,-2.770139465E0,1.620530090E0,7.821385345E0,8.454221381E0
1.704640875E0,-2.680026855E0,1.629361725E0,7.809260559E0,8.415575682E0
1.714681875E0,-2.443518677E0,1.640588379E0,7.838300171E0,8.372649719E0
1.724690875E0,-2.226919098E0,1.601519623E0,7.865094452E0,8.329690541E0
1.734731875E0,-2.133213959E0,1.541195068E0,7.847880249E0,8.277385362E0
1.744771875E0,-2.095492401E0,1.565893707E0,7.926466827E0,8.346974774E0
1.754781875E0,-2.197879486E0,1.564396820E0,8.032147064E0,8.473098495E0
1.764821875E0,-2.342927856E0,1.533261566E0,8.130342865E0,8.598992794E0
1.774831875E0,-2.364033966E0,1.535506897E0,8.255482635E0,8.723498815E0
1.784871875E0,-2.307152252E0,1.535806274E0,8.292306061E0,8.743225505E0
1.794881875E0,-2.296823730E0,1.522334290E0,8.328979797E0,8.772958760E0
1.804921875E0,-2.361040192E0,1.531315613E0,8.406368866E0,8.864901342E0
1.814961875E0,-2.371817780E0,1.564696198E0,8.484057312E0,8.947235453E0
1.824971875E0,-2.385439453E0,1.560355225E0,8.597072296E0,9.057299922E0
1.835011875E0,-2.295476532E0,1.406175842E0,8.706794128E0,9.113441008E0
1.845021875E0,-1.932780762E0,1.150657196E0,8.906179504E0,9.185841650E0
1.855061875E0,-1.412313080E0,1.025816803E0,9.087602234E0,9.253725883E0
1.865102875E0,-1.862277374E0,9.642947388E-1,9.147328033E0,9.384644453E0
1.875111875E0,-2.175126801E0,1.001866608E0,9.215137024E0,9.521221753E0
1.885152875E0,-2.086960144E0,1.219813385E0,9.093290405E0,9.409106107E0
1.895161875E0,-2.068698120E0,1.293310547E0,9.186995544E0,9.505422201E0
1.905202875E0,-2.262395325E0,1.300495605E0,9.381291504E0,9.737471525E0
1.915212875E0,-2.423909454E0,1.177152100E0,9.416318665E0,9.794288198E0
1.925252875E0,-2.133962402E0,1.110091553E0,9.402547302E0,9.705359064E0
1.935292875E0,-1.763033752E0,1.032403107E0,9.353150024E0,9.573691011E0
1.945302875E0,-1.373992767E0,9.497749329E-1,9.346114655E0,9.494197580E0
1.955342875E0,-1.218466187E0,9.289682007E-1,9.304650879E0,9.429961280E0
1.965386167E0,-1.334924011E0,6.918612671E-1,9.229058075E0,9.350732970E0
1.975426167E0,-1.509610748E0,6.325845337E-1,9.338779907E0,9.481133791E0
1.985436167E0,-1.600322113E0,8.747808838E-1,9.488169250E0,9.661864633E0
1.995476167E0,-1.564845886E0,9.354048157E-1,9.614656219E0,9.785976652E0
2.005517167E0,-1.260079651E0,8.753796387E-1,9.567504272E0,9.689748616E0
2.015526167E0,-1.149010620E0,7.667056274E-1,9.602381744E0,9.701226628E0
2.025567167E0,-1.265917511E0,6.993457031E-1,9.740095367E0,9.846882213E0
2.035576167E0,-1.223555603E0,8.020321655E-1,9.880054321E0,9.987783403E0
2.045617167E0,-1.189127197E0,7.393125916E-1,9.883646851E0,9.982338487E0
2.055657167E0,-1.241069183E0,3.610491943E-1,9.898915100E0,9.982941921E0
2.065667167E0,-1.288819885E0,1.044827271E-1,9.976902924E0,1.006034618E1
2.075707167E0,-1.139280853E0,2.038760376E-1,1.002076172E1,1.008737784E1
2.085717167E0,-1.097218323E0,4.474195862E-1,1.008557693E1,1.015494630E1
2.095757167E0,-1.092128906E0,6.171665955E-1,1.020802231E1,1.028481208E1
2.105767167E0,-8.568182373E-1,6.382727051E-1,1.035202286E1,1.040701239E1
2.115807167E0,-7.117698669E-1,5.644761658E-1,1.051293823E1,1.055211448E1
2.125847167E0,-6.489006042E-1,4.381388855E-1,1.063613205E1,1.066491175E1
2.135857167E0,-5.227130127E-1,2.423460388E-1,1.064616119E1,1.066174041E1
2.145897167E0,-4.089495850E-1,2.589614868E-2,1.065963318E1,1.066750626E1
2.155907167E0,-2.580633545E-1,-1.249900818E-1,1.076426559E1,1.076808400E1
2.165947167E0,-2.086660767E-1,-1.046324158E-1,1.092697723E1,1.092947030E1
2.175957167E0,-1.809736633E-1,4.834945679E-2,1.104927292E1,1.105086065E1
2.185997167E0,-1.472937012E-1,1.237925720E-1,1.110241241E1,1.110407950E1
2.196038167E0,-1.715432739E-1,1.688488770E-1,1.116094070E1,1.116353593E1
2.206048167E0,-1.236428833E-1,2.465373230E-1,1.120749390E1,1.121088701E1
2.216088167E0,-7.993377686E-2,2.814147949E-1,1.127365631E1,1.127745141E1
2.226098167E0,-3.832031250E-2,2.523751831E-1,1.125958557E1,1.126247881E1
2.236138167E0,1.263372803E-1,3.847000122E-2,1.116872452E1,1.116950529E1
2.246178167E0,1.968406677E-1,-2.743794250E-1,1.111034592E1,1.111547645E1
2.256188167E0,2.493814087E-1,-3.595523071E-1,1.119671631E1,1.120526327E1
2.266228167E0,2.092648315E-1,-1.302291870E-1,1.136047577E1,1.136314926E1
2.276238167E0,1.365161133E-1,1.288819885E-1,1.147932861E1,1.148086376E1
2.286278167E0,9.250762939E-2,2.658471680E-1,1.152962402E1,1.153305955E1
2.296288167E0,7.244934082E-2,3.263214111E-1,1.157093811E1,1.157576535E1
2.306328167E0,1.444496155E-1,3.649411011E-1,1.153591095E1,1.154258589E1
2.316369167E0,2.655477905E-1,3.546125793E-1,1.139430542E1,1.140291461E1
2.326378167E0,4.035607910E-1,2.992277527E-1,1.128652954E1,1.129770541E1
2.336419167E0,4.510121155E-1,2.037263489E-1,1.123847946E1,1.124937051E1
2.346428167E0,5.263055420E-1,8.412506104E-2,1.121183487E1,1.122449623E1
2.356469167E0,5.929170227E-1,-4.819976807E-2,1.118728592E1,1.120309065E1
2.366478167E0,6.149212646E-1,-1.914518738E-1,1.123563538E1,1.125407856E1
2.376519167E0,6.170169067E-1,-3.186872864E-1,1.128533203E1,1.130667902E1
2.386559167E0,5.908213806E-1,-3.326083374E-1,1.123728195E1,1.125771753E1
2.396569167E0,5.522016907E-1,-2.049238586E-1,1.118968094E1,1.120517202E1
2.406609167E0,5.083428955E-1,1.930984497E-2,1.111947693E1,1.113110743E1
2.416619167E0,4.915777588E-1,1.975891113E-1,1.106693619E1,1.107961041E1
2.426659167E0,4.791535950E-1,2.625540161E-1,1.106903183E1,1.108250822E1
2.436699167E0,5.550457764E-1,2.823129272E-1,1.098415833E1,1.100179579E1
2.446709167E0,6.837780762E-1,2.847079468E-1,1.095856155E1,1.098356419E1
2.456749167E0,8.422984314E-1,2.398013306E-1,1.100197128E1,1.103677233E1
2.466759167E0,9.794132996E-1,7.469467163E-2,1.101933517E1,1.106302750E1
2.476799167E0,1.077758789E0,-1.728904724E-1,1.096859070E1,1.102276903E1
2.486809167E0,1.031504974E0,-3.411405945E-1,1.086350922E1,1.091770177E1
2.496850167E0,1.005309448E0,-2.888992310E-1,1.075872711E1,1.080945507E1
2.506890167E0,6.604266357E-1,-2.204914856E-1,1.055395294E1,1.057689475E1
2.516900167E0,3.716770935E-1,-1.571731567E-2,1.030696655E1,1.031367783E1
2.526940167E0,1.887574768E-1,1.441502380E-1,1.016655853E1,1.016933238E1
2.536950167E0,-1.347198486E-2,1.854643250E-1,9.966724091E0,9.968458638E0
2.546990167E0,-7.439529419E-2,2.968327332E-1,9.873468018E0,9.878209100E0
2.557000167E0,-7.080276489E-2,3.629951477E-1,9.751022644E0,9.758033670E0
2.567040167E0,-7.544311523E-2,3.993695068E-1,9.646839294E0,9.655397249E0
2.577080167E0,-8.532257080E-3,4.580474854E-1,9.640402679E0,9.651281994E0
2.587090167E0,2.170486450E-1,5.707630920E-1,9.723779297E0,9.742934077E0
2.597130167E0,4.327500916E-1,6.435118103E-1,9.906998291E0,9.937303217E0
2.607140167E0,3.915856934E-1,6.253994751E-1,9.800868988E0,9.828606045E0
2.617180167E0,2.718347168E-1,4.906796265E-1,9.452393646E0,9.469023511E0
2.627221167E0,2.968327332E-1,3.736230469E-1,9.246421967E0,9.258726858E0
2.637230167E0,3.270698547E-1,4.096980286E-1,9.094487915E0,9.109584930E0
2.647271167E0,3.372486877E-1,5.313949585E-1,8.930129700E0,8.952280923E0
2.657280167E0,3.297642517E-1,6.827302551E-1,8.869954834E0,8.902301041E0
2.667321167E0,3.167413330E-1,8.511300659E-1,8.943302307E0,8.989293833E0
2.677330167E0,3.671864319E-1,9.433383179E-1,8.913364563E0,8.970662233E0
2.687371167E0,4.688250732E-1,9.087602234E-1,8.850644989E0,8.909520684E0
