"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.323545708E0,-1.588531349E-2,-3.696774188E-2,-6.101160228E-2,7.308469565E-2
1.333606083E0,2.087768449E-2,-9.164881960E-2,-1.648002648E-1,1.897221946E-1
1.343615083E0,6.063507814E-2,-1.736250106E-1,-2.415888244E-1,3.036238085E-1
1.353656083E0,5.690328461E-2,-2.038580209E-1,-2.099413544E-1,2.981131476E-1
1.363696083E0,1.629280047E-2,-1.130662204E-1,-7.060922205E-2,1.342947794E-1
1.373706083E0,-3.681217854E-2,2.379842352E-2,2.729304850E-2,5.163731158E-2
1.383746083E0,-1.131033319E-1,2.823904577E-2,-3.076687932E-2,1.205670281E-1
1.393756083E0,-1.084107678E-1,3.997263514E-2,-9.462607563E-2,1.493479170E-1
1.403796083E0,-5.806990463E-2,4.310713559E-2,-9.798822463E-2,1.217868266E-1
1.413806083E0,-7.419842575E-4,-9.837401295E-3,-4.036917686E-3,1.065934845E-2
1.423846083E0,4.031207515E-2,-3.015650310E-2,1.087909555E-1,1.198747267E-1
1.433856083E0,4.317202142E-2,-2.571006104E-2,3.317651689E-2,6.021222421E-2
1.443896083E0,2.490013945E-2,-3.375882648E-2,-5.649170458E-2,7.036325743E-2
1.453936083E0,5.083948444E-3,-1.532637449E-2,-6.561979294E-2,6.757737426E-2
1.463946083E0,-3.364071729E-2,1.187299065E-2,-1.965424597E-2,4.073027316E-2
1.473986083E0,-6.350278110E-2,-1.384412359E-2,6.597062588E-2,9.260878168E-2
1.483996083E0,-1.510550780E-1,-7.292146694E-2,9.186852872E-2,1.912459241E-1
1.494036083E0,-1.702791242E-1,-6.317072321E-2,1.244024366E-1,2.201396980E-1
1.504046083E0,3.329096243E-3,6.514107043E-2,1.162572652E-1,1.333048898E-1
1.514086083E0,-7.170817426E-2,-1.263876577E-1,-2.937056422E-3,1.453427968E-1
1.524127083E0,-1.644650458E-3,-1.477880284E-1,-1.030998605E-1,1.802042937E-1
1.534137083E0,3.694042214E-2,-7.098517975E-2,-6.507366300E-2,1.031410304E-1
1.544177083E0,2.121743056E-2,3.844014388E-3,2.756903708E-2,3.500010874E-2
1.554187083E0,1.281330516E-2,-1.276781565E-2,3.197432935E-2,3.673629871E-2
1.564227083E0,-5.739672566E-3,-1.154651868E-1,-3.270757020E-2,1.201454882E-1
1.574237083E0,1.270635136E-2,-1.713485068E-1,2.951440573E-2,1.743354878E-1
1.584277083E0,-9.584655399E-3,-1.393543883E-1,1.135038114E-1,1.799850726E-1
1.594287083E0,-3.382659936E-2,-1.136252507E-1,8.158093750E-2,1.439110343E-1
1.604327083E0,-5.952866617E-2,-1.128364248E-1,2.893962443E-2,1.308175169E-1
1.614367083E0,-1.328868744E-1,-3.477708254E-2,-1.127617997E-1,1.777177266E-1
1.624377083E0,-2.401856662E-2,-5.007259469E-2,-2.728135407E-2,6.187429646E-2
1.634417083E0,3.950614611E-2,-6.802226767E-2,4.292265594E-2,8.961093054E-2
1.644427083E0,7.380032172E-2,-8.295485046E-2,-1.143715382E-1,1.594015164E-1
1.654467083E0,1.045856655E-1,-2.635469830E-1,-6.724298000E-4,2.835412242E-1
1.664477083E0,-6.164052514E-3,-1.536004714E-1,5.380900204E-2,1.628696076E-1
1.674517083E0,-6.462541453E-2,-2.338042069E-2,9.520904303E-2,1.174216767E-1
1.684558083E0,-1.695198815E-1,-2.870873250E-3,2.111014420E-1,2.707564421E-1
1.694567083E0,-1.674531466E-1,9.227279060E-2,2.774924827E-1,3.369820501E-1
1.704608083E0,-1.318761010E-1,1.089056706E-1,1.544623876E-1,2.304568946E-1
1.714617083E0,-6.346765213E-2,6.782430287E-2,-1.043435633E-2,9.347274854E-2
1.724658083E0,-1.075906409E-2,-1.650763996E-2,-1.177652621E-1,1.194023308E-1
1.734668083E0,-5.062757769E-2,-6.591427334E-2,-1.542600739E-1,1.752256073E-1
1.744708083E0,-3.033399578E-3,1.518565759E-2,-1.146872878E-1,1.157280420E-1
1.754718083E0,-2.538976610E-2,1.899983291E-2,2.916181862E-2,4.308184697E-2
1.764758083E0,-6.757501963E-2,9.128965437E-4,6.196294427E-2,9.168763886E-2
1.774798083E0,-4.938241311E-2,2.195790276E-2,5.715828717E-2,7.866283754E-2
1.784808083E0,2.393317443E-2,4.753943469E-2,5.216301084E-3,5.347900977E-2
1.794848083E0,7.270447585E-2,-8.154563494E-3,-4.779046297E-2,8.738630365E-2
1.804858083E0,8.237611315E-2,-1.043632246E-1,3.893076181E-2,1.385392034E-1
1.814898083E0,5.992566927E-2,-8.378756706E-2,1.315208369E-1,1.670603866E-1
1.824908083E0,1.433745044E-2,-1.454637419E-2,9.944593549E-2,1.015216902E-1
1.834948083E0,-2.736786545E-2,8.814239055E-3,-3.531075060E-2,4.553613925E-2
1.844958083E0,-3.569684956E-2,-2.982555069E-3,-1.560440594E-1,1.601028081E-1
1.854998083E0,-4.831367457E-2,-2.178577535E-2,-4.971712053E-2,7.266789684E-2
1.865039083E0,-4.691684327E-2,6.301909760E-3,-4.564687371E-2,6.576124489E-2
1.875048083E0,1.187911196E-2,1.727994751E-2,-1.257069504E-1,1.274438985E-1
1.885089083E0,7.510551162E-2,-3.948887855E-2,-6.278974056E-2,1.055592768E-1
1.895098083E0,7.993606092E-2,-7.270639904E-2,6.615539789E-2,1.266985831E-1
1.905139083E0,5.643505055E-2,-5.862052962E-2,1.328832382E-1,1.558179592E-1
1.915148083E0,2.586300228E-2,-4.587506130E-3,1.240919495E-1,1.268414444E-1
1.925189083E0,-5.644505477E-2,5.386685293E-2,1.127635539E-2,7.883424537E-2
1.935229083E0,-6.417719347E-2,5.662059914E-2,-1.570047569E-1,1.788158217E-1
1.945239083E0,-2.608619233E-2,-9.464851432E-3,-1.783447552E-1,1.804907880E-1
1.955279083E0,7.463212470E-3,-1.315064382E-2,-1.487981898E-1,1.495645020E-1
1.965289083E0,-1.423943192E-2,6.608413495E-3,-1.448904955E-1,1.457384241E-1
1.975329083E0,-7.021056985E-2,-1.195675202E-2,-1.699294424E-1,1.842511966E-1
1.985339083E0,-6.026638378E-2,-1.219784003E-2,-8.555762887E-2,1.053609613E-1
1.995379083E0,-5.200915597E-4,1.680380143E-2,7.202190936E-2,7.395805342E-2
2.005389083E0,2.646467163E-2,-3.062406108E-2,7.704408288E-2,8.702874622E-2
2.015429083E0,6.147453731E-2,-9.106537711E-2,-4.285190463E-2,1.179334871E-1
2.025470083E0,1.127233634E-1,-1.387283708E-1,-1.605814987E-1,2.402884418E-1
2.035479083E0,1.013257331E-1,-2.017528040E-1,-1.606212598E-1,2.770745156E-1
2.045520083E0,6.937261817E-2,-2.045098392E-1,-1.106527090E-1,2.426537791E-1
2.055529083E0,8.274542877E-2,-2.085384977E-1,-8.769186258E-2,2.408837350E-1
2.065570083E0,1.601721936E-1,-1.941809520E-1,-1.160356557E-1,2.771743985E-1
2.075579083E0,1.223550889E-1,-1.493738116E-1,-1.687974215E-1,2.564680738E-1
2.085620083E0,4.169104046E-2,-8.062206723E-2,-1.342450547E-1,1.620487436E-1
2.095660083E0,-6.021318326E-2,-7.551510908E-2,-9.248657942E-2,1.337233207E-1
2.105670083E0,-5.671668534E-2,-1.046658911E-2,-1.416739422E-1,1.529635178E-1
2.115710083E0,-4.220380473E-2,1.861552466E-2,-2.126135319E-1,2.175596765E-1
2.125720083E0,-3.175507704E-2,-3.308135346E-2,-2.326273817E-1,2.371039004E-1
2.135760083E0,5.546356307E-2,2.416471504E-3,-1.764309615E-1,1.849592667E-1
2.145770083E0,6.199788138E-2,4.757378709E-2,-1.667766237E-1,1.841777531E-1
2.155810083E0,6.402243412E-2,7.753912278E-2,-2.941061765E-1,3.108208981E-1
2.165820083E0,1.012652327E-1,4.927452285E-2,-2.757242846E-1,2.978363764E-1
2.175860083E0,1.309925867E-1,-5.164684787E-2,-1.828096890E-1,2.307505950E-1
2.185900083E0,1.487168678E-1,-1.055934788E-1,-5.029774904E-2,1.891997703E-1
2.195910083E0,1.642908262E-1,-7.913417011E-2,-2.636451066E-2,1.842519467E-1
2.205950083E0,1.171878404E-1,2.604565468E-2,-9.957632840E-2,1.559705461E-1
2.215960083E0,1.570728404E-2,5.010537565E-2,-1.203011996E-1,1.312617464E-1
2.226001083E0,3.379768534E-2,4.358057734E-2,-9.971958518E-2,1.139541396E-1
2.236010083E0,1.476467634E-2,4.627025999E-2,-3.244035244E-3,4.867706227E-2
2.246051083E0,4.259757816E-2,4.667485077E-2,1.569451153E-1,1.691888430E-1
2.256060083E0,1.517438526E-1,-7.937668338E-2,1.040143651E-1,2.003642752E-1
2.266101083E0,2.364010650E-1,-1.493260106E-1,5.738223553E-2,2.854407854E-1
2.276141083E0,2.521938098E-1,-1.252349522E-1,4.528025329E-2,2.851943413E-1
2.286151083E0,1.571090566E-1,-1.294960010E-1,-1.676455200E-2,2.042878365E-1
2.296191083E0,7.478388735E-2,-7.991671029E-2,-1.076121569E-1,1.534916503E-1
2.306201083E0,4.007259512E-2,5.719088539E-3,-1.375873232E-1,1.434182428E-1
2.316241083E0,4.782410273E-3,8.488715423E-2,-1.221074045E-1,1.487915274E-1
2.326251083E0,-2.845902670E-2,3.156146111E-2,-1.918600094E-1,1.965103184E-1
2.336302625E0,3.993873842E-3,-8.875264800E-2,-9.072481334E-2,1.269802162E-1
2.346342625E0,7.789899149E-2,-1.290598078E-1,-1.556353390E-2,1.515483766E-1
2.356352625E0,3.507574050E-2,-1.207380140E-1,-5.935684025E-2,1.390367220E-1
2.366392625E0,-3.860403037E-2,-1.944476034E-2,-8.423732758E-2,9.467997266E-2
2.376402625E0,-6.583899044E-2,5.508547663E-2,-7.117347836E-2,1.115116425E-1
2.386442625E0,-6.211569364E-2,2.590515248E-2,1.238557220E-1,1.409598389E-1
2.396452625E0,-3.639822308E-2,-1.532262177E-2,2.798980272E-1,2.826703363E-1
2.406492625E0,-7.618149980E-3,-9.378787726E-2,1.920085287E-1,2.138258105E-1
2.416502625E0,-1.108174817E-2,-1.522085874E-1,1.514727062E-1,2.150214872E-1
2.426543625E0,-2.043043644E-2,-1.202973715E-1,1.218875492E-1,1.724686492E-1
2.436583625E0,-6.208543430E-2,-1.388954093E-1,3.569081962E-2,1.562701842E-1
2.446593625E0,-2.497898550E-2,-1.156770570E-1,-5.805291116E-2,1.318152939E-1
2.456633625E0,-2.429052154E-3,-1.101581533E-1,-1.060585517E-1,1.529350693E-1
2.466643625E0,4.515861750E-2,-7.567285599E-2,-1.328545868E-1,1.594240356E-1
2.476683625E0,8.199758817E-2,-9.981525111E-2,-1.198182195E-1,1.761905064E-1
2.486693625E0,6.235434684E-2,-2.828728712E-1,-1.007171202E-1,3.066741987E-1
2.496733625E0,3.212160610E-2,-3.788185173E-1,-6.115778267E-2,3.850656320E-1
2.506773625E0,2.361823792E-2,-1.812036782E-1,2.040152013E-2,1.838717384E-1
2.516783625E0,-7.111858763E-2,-9.798186578E-2,-2.160487711E-2,1.229840243E-1
2.526823625E0,-1.521009347E-1,-8.955882372E-2,-9.194337308E-2,1.990202530E-1
2.536833625E0,-1.347758905E-1,2.827086741E-2,-5.306932926E-2,1.475809484E-1
2.546873625E0,-5.844037143E-2,1.111999536E-1,1.398595512E-2,1.263974431E-1
2.556883625E0,2.569831179E-2,1.248706524E-1,-1.390818715E-2,1.282439891E-1
2.566923625E0,1.017606380E-1,9.175730372E-2,-3.076570988E-2,1.404320446E-1
2.576933625E0,1.126374915E-1,1.309462018E-2,-6.212081909E-2,1.292968280E-1
2.586973625E0,2.921077078E-3,-4.104588244E-2,-4.973641634E-3,4.144917693E-2
2.597014625E0,-1.668140276E-2,-7.548541619E-2,3.543061852E-2,8.503908504E-2
2.607024625E0,5.948568913E-2,-2.266112180E-1,-1.556195515E-1,2.812625751E-1
2.617064625E0,8.253263581E-2,-2.623158700E-1,-3.018402886E-1,4.083243949E-1
2.627074625E0,6.413528538E-2,-2.091119086E-1,-2.968368262E-1,3.687183567E-1
2.637114625E0,-1.430531359E-2,-1.463623859E-1,-3.292450190E-1,3.605951643E-1
2.647124625E0,-7.972225383E-2,-5.955184489E-2,-3.317441189E-1,3.463469654E-1
2.657164625E0,4.154309677E-3,-4.471438900E-2,-2.708804512E-1,2.745775914E-1
2.667174625E0,9.159401109E-2,-1.097916334E-1,-8.583303273E-2,1.667662290E-1
2.677214625E0,8.050298503E-2,-1.209948621E-1,1.061164391E-1,1.799477310E-1
2.687254625E0,8.633288744E-2,-1.088674444E-1,1.158830434E-1,1.809264150E-1
2.697264625E0,9.472053557E-2,-1.633099557E-1,-5.544914603E-3,1.888726226E-1
2.707304625E0,1.265079824E-1,-1.724307716E-1,-1.196925044E-2,2.141959467E-1
2.717314625E0,7.947502624E-2,-1.815798734E-1,-7.277269185E-2,2.111478035E-1
2.727354625E0,3.958420644E-2,-1.311879111E-1,-1.559037262E-1,2.075648074E-1
2.737364625E0,-2.313490159E-2,1.257699542E-2,-2.148296267E-1,2.164374574E-1
2.747404625E0,-5.579002957E-2,9.629242245E-2,-2.828134489E-1,3.039213795E-1
2.757445625E0,-2.472105020E-2,1.907507926E-2,-2.997124869E-1,3.013346375E-1
2.767454625E0,3.654912692E-2,-7.425335303E-2,-2.249657750E-1,2.397060680E-1
2.777495625E0,1.008301633E-1,-1.380684394E-1,-2.316280925E-1,2.878909325E-1
2.787504625E0,1.280532919E-1,-2.239042496E-1,-3.216565025E-1,4.123028791E-1
2.797545625E0,1.178507868E-1,-2.271949529E-1,-1.834955674E-1,3.149237651E-1
2.807555625E0,3.470983042E-2,-2.031203215E-1,-3.874423563E-2,2.096753518E-1
2.817595625E0,1.264540784E-2,-1.137606869E-1,1.465896964E-3,1.144707345E-1
2.827605625E0,3.351011882E-3,-4.353072982E-2,5.761320055E-2,7.228716758E-2
2.837645625E0,-7.071591547E-2,-8.360221032E-2,-3.074349046E-2,1.137331635E-1
2.847685625E0,-4.761101740E-2,-8.083629459E-2,-1.321078974E-1,1.620302813E-1
2.857695625E0,-2.849953922E-2,-7.586981580E-3,-1.089283651E-1,1.128502315E-1
2.867735625E0,-9.878848004E-2,-4.212297611E-3,-9.563179672E-2,1.375585249E-1
2.877745625E0,-1.089175660E-1,-2.677567955E-2,-1.334603584E-1,1.743319835E-1
2.887785625E0,-9.390898772E-2,-5.447649825E-2,-1.013135362E-1,1.484958567E-1
2.897795625E0,-1.252809077E-1,-1.668125476E-1,-4.308988631E-2,2.130222292E-1
2.907835625E0,-1.081325591E-1,-1.384591796E-1,-6.904450715E-2,1.887610625E-1
2.917876625E0,-1.113143489E-1,-4.004538730E-3,-1.139464456E-1,1.593446361E-1
2.927885625E0,-1.330664753E-1,8.448722295E-2,-1.989836723E-1,2.538489305E-1
2.937926625E0,-8.520034572E-2,9.033199009E-2,-4.020984024E-1,4.208349944E-1
2.947935625E0,-1.475315093E-2,5.766728729E-2,-4.301311237E-1,4.342303018E-1
2.957976625E0,3.880861439E-2,5.561476842E-2,-2.368677825E-1,2.463847751E-1
