"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.844973250E0,-2.110610962E-2,-8.113128662E-2,9.754914551E0,9.755274760E0
1.855013250E0,-1.960922241E-2,-7.589218140E-2,9.758956146E0,9.759270936E0
1.865023250E0,-1.601669312E-2,-5.553451538E-2,9.757908325E0,9.758079499E0
1.875063250E0,-1.092727661E-2,-4.954696655E-2,9.754315796E0,9.754447752E0
1.885073250E0,4.490661621E-4,-2.544708252E-2,9.752669220E0,9.752702429E0
1.895113250E0,1.676513672E-2,-8.981323242E-3,9.761201477E0,9.761220006E0
1.905154250E0,4.640350342E-3,-8.831634521E-3,9.754615173E0,9.754620275E0
1.915163250E0,-4.490661621E-3,-1.347198486E-2,9.761051788E0,9.761062118E0
1.925204250E0,-2.424957275E-2,-3.278182983E-2,9.767638092E0,9.767723204E0
1.935214250E0,-4.924758911E-2,-4.430786133E-2,9.767787781E0,9.768012420E0
1.945254250E0,-4.191284180E-2,-6.870712280E-2,9.745334473E0,9.745666798E0
1.955264250E0,-4.071533203E-2,-7.319778442E-2,9.748927002E0,9.749286812E0
1.965304250E0,-8.981323242E-3,-7.649093628E-2,9.761800232E0,9.762104040E0
1.975344250E0,3.592529297E-3,-7.708969116E-2,9.758656769E0,9.758961915E0
1.985354250E0,1.272354126E-2,-9.235794067E-2,9.748028870E0,9.748474687E0
1.995394250E0,1.332229614E-2,-1.005908203E-1,9.768236847E0,9.768763847E0
2.005404250E0,2.544708252E-3,-8.532257080E-2,9.758507080E0,9.758880410E0
2.015444250E0,-6.137237549E-3,-7.604187012E-2,9.757608948E0,9.757907174E0
2.025454250E0,-2.050735474E-2,-4.266128540E-2,9.764045563E0,9.764160296E0
2.035494250E0,-7.185058594E-3,-1.616638184E-2,9.769434357E0,9.769450375E0
2.045504250E0,-2.859054565E-2,4.640350342E-3,9.767638092E0,9.767681037E0
2.055544250E0,-3.248245239E-2,3.143463135E-3,9.759105835E0,9.759160399E0
2.065585250E0,-2.769241333E-2,-8.083190918E-3,9.764644318E0,9.764686931E0
2.075594250E0,-2.514770508E-2,-2.020797729E-2,9.765392761E0,9.765446050E0
2.085635250E0,-1.451980591E-2,-4.805007935E-2,9.748777313E0,9.748906541E0
2.095644250E0,-2.350112915E-2,-4.041595459E-2,9.759255524E0,9.759367507E0
2.105685250E0,-3.891906738E-2,8.831634521E-3,9.756860504E0,9.756942123E0
2.115694250E0,5.987548828E-3,-4.640350342E-3,9.755812683E0,9.755815624E0
2.125735250E0,5.149291992E-2,-4.969665527E-2,9.765392761E0,9.765654973E0
2.135745250E0,5.553451538E-2,-1.092727661E-1,9.752968597E0,9.753738826E0
2.145785250E0,4.311035156E-2,-1.354682922E-1,9.748627625E0,9.749664134E0
2.155825250E0,-1.107696533E-2,-8.622070312E-2,9.752968597E0,9.753355995E0
2.165835250E0,-6.002517700E-2,-6.316864014E-2,9.765692139E0,9.766080905E0
2.175875250E0,-4.415817261E-2,-8.696914673E-2,9.757758636E0,9.758246112E0
2.185885250E0,-5.777984619E-2,-6.676116943E-2,9.755812683E0,9.756212209E0
2.195925250E0,-3.053649902E-2,-5.388793945E-2,9.746981049E0,9.747177845E0
2.205935250E0,-2.335144043E-2,-4.505630493E-2,9.770781555E0,9.770913343E0
2.215975250E0,1.841171265E-2,-3.891906738E-2,9.760153656E0,9.760248617E0
2.226016250E0,4.775070190E-2,-2.514770508E-2,9.758058014E0,9.758207250E0
2.236025250E0,6.990463257E-2,-4.176315308E-2,9.762249298E0,9.762588907E0
2.246066250E0,4.535568237E-2,-7.873626709E-2,9.751172333E0,9.751595685E0
2.256075250E0,2.125579834E-2,-6.975494385E-2,9.758507080E0,9.758779534E0
2.266116250E0,-1.646575928E-2,-5.224136353E-2,9.761351166E0,9.761504846E0
2.276125250E0,-3.547622681E-2,-7.289840698E-2,9.761201477E0,9.761538148E0
2.286166250E0,-4.026626587E-2,-7.888595581E-2,9.769134979E0,9.769536458E0
2.296175250E0,-5.209167480E-2,-4.640350342E-2,9.762698364E0,9.762947617E0
2.306216250E0,-4.655319214E-2,-1.631607056E-2,9.753717041E0,9.753841783E0
2.316256250E0,-4.131408691E-2,1.107696533E-2,9.787097626E0,9.787191093E0
2.326266250E0,-3.068618774E-2,1.930984497E-2,9.767488403E0,9.767555693E0
2.336306250E0,-3.772155762E-2,2.963836670E-2,9.754166107E0,9.754284074E0
2.346316250E0,-2.125579834E-2,1.945953369E-3,9.740245056E0,9.740268443E0
2.356356250E0,-1.451980591E-2,-5.478607178E-2,9.762698364E0,9.762862884E0
