"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.456751417E0,-4.548094983E-2,-2.469986866E-1,-5.829966366E-2,2.578288556E-1
2.466761417E0,-7.363300456E-2,-1.914124051E-1,-6.084086359E-2,2.139208706E-1
2.476801417E0,-2.094145568E-2,-1.589815909E-1,-8.179553032E-2,1.800116652E-1
2.486811417E0,1.816950087E-2,-1.699944561E-1,-8.403793752E-2,1.905009733E-1
2.496851417E0,1.050135035E-2,3.940515373E-2,-8.433146775E-2,9.367412104E-2
2.506892417E0,3.831197337E-2,-8.852943054E-2,-7.130094767E-2,1.199545435E-1
2.516901417E0,8.724478813E-2,-1.058822673E-1,-9.270175695E-2,1.655787526E-1
2.526942417E0,6.325325117E-2,-2.202464690E-1,-8.177155674E-2,2.433024216E-1
2.536951417E0,5.618265640E-2,-3.109137786E-1,-8.701007724E-2,3.277111871E-1
2.546992417E0,3.945019556E-2,-2.024082951E-1,-7.862809360E-2,2.206984661E-1
2.557032417E0,-8.088709228E-4,-2.870025769E-1,-5.707233310E-2,2.926232811E-1
2.567042417E0,-3.251779607E-2,-6.481059311E-2,-5.647182405E-2,9.190694725E-2
2.577082417E0,-2.552255271E-2,-1.543022287E-1,-7.817902744E-2,1.748500466E-1
2.587092417E0,-6.729077186E-2,-5.687364654E-2,-1.034764212E-1,1.359044863E-1
2.597132417E0,-3.197644212E-2,-1.284636294E-1,-8.626104891E-2,1.580074855E-1
2.607142417E0,2.528391779E-2,-1.145881044E-1,-6.904275298E-2,1.361492266E-1
2.617182417E0,4.119214963E-2,-9.990585554E-2,-5.361779809E-2,1.206351584E-1
2.627222417E0,3.723315979E-2,-5.485124539E-3,-6.259444356E-2,7.303738183E-2
2.637232417E0,2.169816304E-2,6.981945508E-3,-7.605999649E-2,7.940202081E-2
2.647273417E0,2.340309921E-2,-1.842794050E-1,-6.737571180E-2,1.976008368E-1
2.657282417E0,6.975824204E-3,-1.512080009E-1,-5.779154062E-2,1.620258740E-1
2.667323417E0,-4.215692651E-2,-1.469291273E-1,-7.889706552E-2,1.720177951E-1
2.677332417E0,-6.967826310E-2,-3.544310553E-2,-7.365503669E-2,1.074073485E-1
2.687373417E0,-5.781174093E-2,-6.987761660E-2,-7.410176396E-2,1.171159687E-1
2.697413417E0,-2.277418092E-2,-1.790836605E-1,-1.041903663E-1,2.084352494E-1
2.707423417E0,-4.026633896E-2,-7.176459989E-2,-1.049405640E-1,1.333568815E-1
2.717463417E0,-2.995324383E-2,-9.032535715E-2,-7.904733896E-2,1.237107463E-1
2.727473417E0,2.076286892E-2,-1.024092130E-1,-9.371683359E-2,1.403623473E-1
2.737513417E0,3.556442612E-2,-1.873703711E-1,-6.827092052E-2,2.025670332E-1
2.747553417E0,4.139029258E-3,-1.778793351E-1,-6.303123057E-2,1.887620869E-1
2.757563417E0,3.315025467E-2,-1.776452820E-1,-5.390080333E-2,1.885791139E-1
2.767622250E0,4.124295188E-2,-3.395756603E-1,-5.719278574E-2,3.468192972E-1
2.777632250E0,2.833887327E-3,-3.277064703E-1,-6.841476202E-2,3.347837231E-1
2.787672250E0,-3.668446713E-2,-2.169641345E-1,-5.703666508E-2,2.273155669E-1
2.797682250E0,-1.891390624E-2,-1.084217130E-1,-7.215347171E-2,1.316021549E-1
