"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.065631458E0,5.009254832E-2,7.424778904E-2,1.406968725E-1,1.667861130E-1
2.075641458E0,7.756645851E-2,1.532269623E-1,2.873959118E-1,3.348006386E-1
2.085681458E0,1.893818863E-1,1.653583633E-1,1.962167698E-1,3.189199084E-1
2.095691458E0,9.497926572E-2,-6.888182664E-2,-4.358923852E-2,1.251630484E-1
2.105732458E0,-8.805362251E-2,-1.839165122E-1,-2.285238057E-1,3.062708828E-1
2.115772458E0,-1.728796551E-1,-1.573413921E-1,-2.490194660E-1,3.415470440E-1
2.125782458E0,-1.370606535E-1,-5.030142182E-2,-7.015723228E-2,1.619811502E-1
2.135822458E0,-4.335262729E-2,5.242975350E-2,1.391239715E-1,1.548670681E-1
2.145832458E0,8.691423772E-2,5.682388125E-2,1.290731925E-1,1.656590692E-1
2.155872458E0,1.507484737E-1,-5.004346825E-2,-4.777935326E-2,1.658683744E-1
2.165882458E0,3.074272301E-2,-1.385775126E-1,-2.417993242E-1,2.803850124E-1
2.175922458E0,-1.497010547E-1,-1.433959107E-1,-3.551166093E-1,4.111941138E-1
2.185962458E0,-2.304950483E-1,-1.127896471E-1,-3.243175703E-1,4.135593769E-1
2.195972458E0,-1.150796725E-1,2.454843856E-2,-1.547892469E-1,1.944367965E-1
2.206012458E0,9.668009285E-2,1.175502490E-1,2.313743234E-3,1.522184444E-1
2.216022458E0,1.849097531E-1,1.090506085E-1,-2.365140259E-2,2.159699999E-1
2.226062458E0,6.379337858E-2,-5.281899534E-2,-1.144013590E-1,1.412342464E-1
2.236072458E0,-1.240748464E-1,-2.447496099E-1,-1.841913861E-1,3.304896455E-1
2.246112458E0,-1.923916310E-1,-2.569184148E-1,-1.738336283E-1,3.650201938E-1
2.256153458E0,-1.325586446E-1,-1.371501525E-1,-1.650511104E-1,2.522376412E-1
2.266162458E0,3.281216227E-2,-2.595491320E-2,-1.604364878E-1,1.658015746E-1
2.276203458E0,1.602671744E-1,5.316675849E-2,-1.001212889E-1,1.963072690E-1
2.286212458E0,1.707464446E-1,3.156948276E-2,-9.988798499E-2,2.003212174E-1
2.296253458E0,8.164872866E-2,-5.151342172E-2,-1.654972529E-1,1.915972031E-1
2.306263458E0,5.167849593E-2,-9.305417961E-2,-1.657644707E-1,1.969964645E-1
2.316303458E0,1.139072327E-1,-7.783305500E-2,-1.229429716E-1,1.847912779E-1
2.326313458E0,1.354107337E-1,6.965495646E-4,-6.671790004E-2,1.509563850E-1
2.336353458E0,1.344694051E-1,7.827176062E-2,-7.010986984E-2,1.706572098E-1
2.346393458E0,8.876106251E-2,3.225947248E-2,-1.860291660E-1,2.086289778E-1
2.356403458E0,3.088722233E-2,-1.713022225E-2,-3.181967050E-1,3.201509145E-1
2.366443458E0,-3.260845989E-3,1.776296407E-2,-4.153826916E-1,4.157751033E-1
2.376453458E0,-1.308913111E-1,1.007379143E-1,-4.005214083E-1,4.332413429E-1
2.386493458E0,-1.562572635E-1,2.220223780E-1,-3.174599558E-1,4.177213093E-1
2.396503458E0,2.073009711E-2,2.950377659E-1,-2.520360446E-1,3.885861397E-1
2.406543458E0,1.898662551E-1,3.323573457E-1,-4.653331161E-2,3.855852035E-1
2.416584458E0,2.922020307E-1,1.922505669E-1,7.498469353E-2,3.577219751E-1
2.426593458E0,1.914545050E-1,-4.382471686E-2,-1.228570175E-1,2.316663119E-1
2.436634458E0,-1.928587139E-2,-1.664969258E-1,-2.998165673E-1,3.434867467E-1
2.446643458E0,-2.171322237E-1,-3.532507628E-2,-2.187472612E-1,3.102331830E-1
2.456684458E0,-2.620146105E-1,1.998495535E-1,-6.836096764E-2,3.365482462E-1
2.466693458E0,-8.986401184E-2,4.016048243E-1,9.333091736E-2,4.219865349E-1
2.476734458E0,4.497614326E-2,3.540874263E-1,3.240772498E-1,4.821066508E-1
2.486774458E0,-6.999546541E-2,-1.122612415E-2,3.190702790E-1,3.268504765E-1
2.496784458E0,-1.042404513E-1,-2.673004934E-1,-1.190843940E-2,2.871540291E-1
2.506824458E0,-4.662111120E-2,-3.257855138E-1,-1.664181894E-1,3.687882086E-1
2.516834458E0,5.202487037E-2,-1.365918713E-1,1.878125668E-2,1.473657424E-1
2.526874458E0,2.201911580E-1,2.653457692E-1,1.858332843E-1,3.916969911E-1
